%time,field.header.seq,field.header.stamp,field.header.frame_id,field.info.header.seq,field.info.header.stamp,field.info.header.frame_id,field.info.vehid,field.info.type,field.info.msg_ver,field.info.comm,field.speed,field.position.x,field.position.y,field.position.z,field.yaw,field.wheel_angle,field.quality,field.distance,field.status,field.direction,field.weight,field.correction.x,field.correction.y,field.correction.z,field.reason.reason,field.reason.point.x,field.reason.point.y,field.reason.point.z,field.reason.state
1687473265629870552,2086576,1687473265625680923,,0,0,,1007002,,,,5.09931945801,422.327555864,-1498.49347087,281.638378798,1.54356598854,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265646437512,2086577,1687473265643418073,,0,0,,1007002,,,,5.10140800476,422.328046623,-1498.41029136,281.628386233,1.54328966141,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265670187070,2086578,1687473265665189027,,0,0,,1007002,,,,5.11915874481,422.340479207,-1498.4077927,281.622968801,1.54335570335,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265682141173,2086579,1687473265679047107,,0,0,,1007002,,,,5.1209692955,422.341314854,-1498.33763734,281.614788214,1.54307508469,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265699635496,2086580,1687473265695583105,,0,0,,1007002,,,,5.09131622314,422.351949428,-1498.16569256,281.592033928,1.54314613342,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265713857512,2086581,1687473265710464000,,0,0,,1007002,,,,5.09331464767,422.352785205,-1498.09212149,281.583212624,1.54285860062,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265735196238,2086582,1687473265732023000,,0,0,,1007002,,,,5.09590196609,422.353779525,-1497.99876083,281.571999156,1.54258513451,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265749871179,2086583,1687473265745388031,,0,0,,1007002,,,,5.09730148315,422.367718503,-1497.91246151,281.56430384,1.54252386093,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265763523912,2086584,1687473265759973049,,0,0,,1007002,,,,5.09949731827,422.368742239,-1497.83717046,281.5551352,1.54236066341,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265779042048,2086585,1687473265775888919,,0,0,,1007002,,,,5.10200166702,422.369822024,-1497.75347236,281.544926477,1.54203546047,-0.0197916664183,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265798482609,2086586,1687473265795512914,,0,0,,1007002,,,,5.09621477127,422.381120831,-1497.66135991,281.546039735,1.54187214375,-0.0197916664183,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265819284606,2086587,1687473265815179109,,0,0,,1007002,,,,5.09920358658,422.381875425,-1497.56524687,281.534083871,1.54169416428,-0.0197916664183,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265829745084,2086588,1687473265826370000,,0,0,,1007002,,,,5.10112524033,422.382314223,-1497.50383256,281.52643261,1.54129767418,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265864573727,2086589,1687473265853967905,,0,0,,1007002,,,,5.11561918259,422.397959628,-1497.40662767,281.518704493,1.54089558125,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265876560019,2086590,1687473265873553037,,0,0,,1007002,,,,5.11926031113,422.398665069,-1497.2927863,281.503966095,1.54050266743,-0.0208333339542,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265889369400,2086591,1687473265884211063,,0,0,,1007002,,,,5.08427333832,422.412980333,-1497.16573873,281.488758266,1.54038918018,-0.0208333339542,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265899488622,2086592,1687473265895219087,,0,0,,1007002,,,,5.08622741699,422.4138674,-1497.10559332,281.48110657,1.53996157646,-0.0208333339542,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265915598020,2086593,1687473265911883115,,0,0,,1007002,,,,5.08879995346,422.414966835,-1497.02759885,281.471171278,1.53977668285,-0.0229166671634,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265933108646,2086594,1687473265928651094,,0,0,,1007002,,,,5.08560848236,422.428924311,-1496.91844399,281.459397891,1.53942596912,-0.0229166671634,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265947788691,2086595,1687473265943248987,,0,0,,1007002,,,,5.08825206757,422.43030452,-1496.84003537,281.448998429,1.53895926476,-0.0250000003725,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265964499300,2086596,1687473265960608959,,0,0,,1007002,,,,5.09120368958,422.431759101,-1496.75351888,281.437506955,1.53874862194,-0.0250000003725,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265982433580,2086597,1687473265979017019,,0,0,,1007002,,,,5.10458374023,422.44478737,-1496.66767226,281.434028406,1.53818798065,-0.0281249992549,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265996606740,2086598,1687473265993207931,,0,0,,1007002,,,,5.10724067688,422.446646189,-1496.59151551,281.42375375,1.53772437572,-0.0281249992549,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
