%time,field.header.seq,field.header.stamp,field.header.frame_id,field.info.header.seq,field.info.header.stamp,field.info.header.frame_id,field.info.vehid,field.info.type,field.info.msg_ver,field.info.comm,field.speed,field.position.x,field.position.y,field.position.z,field.yaw,field.wheel_angle,field.quality,field.distance,field.status,field.direction,field.weight,field.correction.x,field.correction.y,field.correction.z,field.reason.reason,field.reason.point.x,field.reason.point.y,field.reason.point.z,field.reason.state
1687475309626929165,2209169,1687475309623167991,,0,0,,1007002,,,,5.50091791153,279.055372975,-1635.31110566,300.413392987,1.84179103374,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309644844856,2209170,1687475309641299009,,0,0,,1007002,,,,5.50230693817,279.03408468,-1635.2127711,300.418111765,1.84181582928,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309661829016,2209171,1687475309659621000,,0,0,,1007002,,,,5.53178310394,279.015529997,-1635.20071434,300.397859474,1.84175360203,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309676660579,2209172,1687475309673371076,,0,0,,1007002,,,,5.5329656601,278.998755899,-1635.12048043,300.401131202,1.8418161869,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309697791182,2209173,1687475309694874048,,0,0,,1007002,,,,5.51291418076,278.953154092,-1634.94478237,300.398174854,1.84176576138,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309714000743,2209174,1687475309707063913,,0,0,,1007002,,,,5.51409339905,278.937952634,-1634.868779,300.401510837,1.84186327457,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309726176000,2209175,1687475309723086118,,0,0,,1007002,,,,5.51554870605,278.919797788,-1634.77812032,300.405502129,1.84196281433,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309743594701,2209176,1687475309741416931,,0,0,,1007002,,,,5.5188908577,278.880595841,-1634.67296546,300.397228648,1.84187686443,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309758301522,2209177,1687475309755805969,,0,0,,1007002,,,,5.5202755928,278.864475606,-1634.59311561,300.401085604,1.8419727087,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309776905092,2209178,1687475309773638963,,0,0,,1007002,,,,5.52202224731,278.845041487,-1634.4969819,300.405739509,1.842035532,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309794477234,2209179,1687475309792057037,,0,0,,1007002,,,,5.53921318054,278.805269031,-1634.4084441,300.390892404,1.84191918373,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309809203639,2209180,1687475309805948019,,0,0,,1007002,,,,5.54076910019,278.78949367,-1634.33001316,300.394455326,1.8419765234,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309824345208,2209181,1687475309822280883,,0,0,,1007002,,,,5.54266452789,278.771282395,-1634.2396011,300.398567976,1.84202325344,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309842379652,2209182,1687475309840533018,,0,0,,1007002,,,,5.54478740692,278.751902259,-1634.14354353,300.40294201,1.84204661846,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309865475921,2209183,1687475309859019994,,0,0,,1007002,,,,5.50181865692,278.732326465,-1634.132376,300.374698773,1.84171152115,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309876795170,2209184,1687475309873832941,,0,0,,1007002,,,,5.50388288498,278.715215093,-1634.04918677,300.37882178,1.84168899059,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309895187173,2209185,1687475309892946958,,0,0,,1007002,,,,5.51925849915,278.668350586,-1633.87524529,300.366313847,1.84148657322,0.00865384656936,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309910672604,2209186,1687475309906898975,,0,0,,1007002,,,,5.52119207382,278.653116337,-1633.80415548,300.36822925,1.84141290188,0.00769230769947,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309925289684,2209187,1687475309922214984,,0,0,,1007002,,,,5.52371644974,278.633875453,-1633.71450655,300.370640997,1.84132421017,0.00769230769947,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309944654676,2209188,1687475309941601037,,0,0,,1007002,,,,5.50625801086,278.600762343,-1633.60878071,300.354989928,1.84111154079,0.00480769248679,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309960560949,2209189,1687475309957813978,,0,0,,1007002,,,,5.50869131088,278.582621055,-1633.52895269,300.355356618,1.84095799923,0.00480769248679,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309979725052,2209190,1687475309973771095,,0,0,,1007002,,,,5.51161956787,278.561275304,-1633.43517865,300.355778839,1.84079492092,0.00384615384974,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475309994446352,2209191,1687475309991888046,,0,0,,1007002,,,,5.57303476334,278.532763162,-1633.34271885,300.334462049,1.84052991867,0.00384615384974,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687475310009902720,2209192,1687475310006277084,,0,0,,1007002,,,,5.57562541962,278.513839332,-1633.26350872,300.332067416,1.84033226967,0.00384615384974,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
