%time,field.header.seq,field.header.stamp,field.header.frame_id,field.info.header.seq,field.info.header.stamp,field.info.header.frame_id,field.info.vehid,field.info.type,field.info.msg_ver,field.info.comm,field.speed,field.position.x,field.position.y,field.position.z,field.yaw,field.wheel_angle,field.quality,field.distance,field.status,field.direction,field.weight,field.correction.x,field.correction.y,field.correction.z,field.reason.reason,field.reason.point.x,field.reason.point.y,field.reason.point.z,field.reason.state
1687473405545719462,2094971,1687473405542766094,,0,0,,1007002,,,,1.32045435905,521.588527446,-1336.61464136,263.230240325,2.30488181114,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405562566016,2094972,1687473405559273004,,0,0,,1007002,,,,1.32066619396,521.596702699,-1336.63524398,263.231501806,2.30691456795,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405579748305,2094973,1687473405576405048,,0,0,,1007002,,,,1.32093214989,521.605261086,-1336.65634153,263.232785815,2.30894613266,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405599889251,2094974,1687473405594985961,,0,0,,1007002,,,,1.30970418453,521.601800028,-1336.65992428,263.233822303,2.31011080742,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405614383620,2094975,1687473405610393047,,0,0,,1007002,,,,1.30964934826,521.608507823,-1336.67796447,263.233501814,2.31213879585,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405636544713,2094976,1687473405626403093,,0,0,,1007002,,,,1.30960094929,521.616243545,-1336.69832941,263.233128117,2.3141784668,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405647463902,2094977,1687473405643775939,,0,0,,1007002,,,,1.30955374241,521.624422259,-1336.71937751,263.232728314,2.31514811516,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405664702651,2094978,1687473405661849021,,0,0,,1007002,,,,1.37677192688,521.628371069,-1336.71622124,263.23427261,2.31703829765,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405679471088,2094979,1687473405676244020,,0,0,,1007002,,,,1.37635481358,521.635390451,-1336.73558791,263.234448127,2.31907343864,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405699639222,2094980,1687473405695488929,,0,0,,1007002,,,,1.35965871811,521.658177485,-1336.78065291,263.235412787,2.32021927834,-0.403124988079,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405714143122,2094981,1687473405710201978,,0,0,,1007002,,,,1.35928654671,521.665255999,-1336.79880229,263.235340199,2.32227802277,-0.398958325386,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405732321266,2094982,1687473405728195905,,0,0,,1007002,,,,1.35877168179,521.674352052,-1336.82165989,263.23523633,2.32430100441,-0.398958325386,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405746895012,2094983,1687473405743554115,,0,0,,1007002,,,,1.37165427208,521.679586245,-1336.85747589,263.23828992,2.32548427582,-0.390625,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405762922069,2094984,1687473405759850025,,0,0,,1007002,,,,1.3707870245,521.687207851,-1336.87825736,263.237390827,2.32736635208,-0.390625,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405779711017,2094985,1687473405776262998,,0,0,,1007002,,,,1.36990785599,521.695267768,-1336.89977786,263.236446049,2.32934379578,-0.379166662693,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405799871651,2094986,1687473405795298099,,0,0,,1007002,,,,1.38496172428,521.70688832,-1336.92752977,263.239252325,2.33050060272,-0.379166662693,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405814189193,2094987,1687473405810719013,,0,0,,1007002,,,,1.38416397572,521.713938883,-1336.94627837,263.238509825,2.33245038986,-0.379166662693,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405834459309,2094988,1687473405825865030,,0,0,,1007002,,,,1.38329911232,521.722154191,-1336.96770855,263.237649416,2.3343000412,-0.367708325386,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473405848528772,2094989,1687473405844667911,,0,0,,1007002,,,,1.38238632679,521.731559989,-1336.99172269,263.236670617,2.33531975746,-0.367708325386,4,0,3,-1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
